Relatório de termos de pesquisa
27 de julho de 2026 - 16 de setembro de 2026
Termo de pesquisa,Tipo de corresp.,Adicionada/excluída,Grupo de anúncios,Cliques,Impr.,CTR,Código da moeda,Custo,Conversões,CPC méd.,Taxa de conv.,Custo / conv.
empresa plangecon,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
utc engenharia macaé,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
montarsul rio grande,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,3,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
alfaengenharia ind,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
c3 engenharia e soluções angra dos reis,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
empresa ndt,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
empresa afry,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
utc engenharia barreto,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,1,2,"50,00%",BRL,"1,67","0,00","1,67","0,00%","0,00"
enesa empresa,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,2,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
layout de uma fabrica,Correspondência exata (variante aproximada),Nenhum,Projetos Industriais,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
aços cuiabá metalúrgica industrial engenharia fabricação e manutenção industrial,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
maiores empresas de engenharia industrial do brasil,Correspondência de frase,Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
plamont serra es,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,2,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
empresa m roscoe,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
meshengenharia,Correspondência de frase (variação aproximada),Excluído,Engenharia Industrial,0,3,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
dolp cuiaba,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
promins agudos sp,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
projeto de uma industria,Correspondência exata (variante aproximada),Nenhum,Projetos Industriais,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
grupo makron,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
ektor servicos industriais eireli,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,2,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
hpb engenharia sertãozinho,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
viabilidade economica,Correspondência de frase (variação aproximada),Nenhum,Viabilidade Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
nas engenharia curitiba,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
projetos industriais,Correspondência exata,Nenhum,Projetos Industriais,0,2,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
projeto de fabrica,Correspondência exata (variante aproximada),Nenhum,Projetos Industriais,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
empresa superus engenharia,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,1,1,"100,00%",BRL,"1,48","0,00","1,48","0,00%","0,00"
projetos epcm,Correspondência de frase (variação aproximada),Nenhum,EPCM / Implantação,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
engenharia de produção industrial,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,2,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
layout fabrica,Correspondência de frase (variação aproximada),Excluído,Projetos Industriais,0,2,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
imo 4,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
empresa atus,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,2,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
empresa tsa engenharia,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,2,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
empresa stahl,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,2,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
movi soluções em engenharia,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
c a w projetos e consultoria industrial ltda,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,2,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
tiemontec industrial,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
kw brasil serra es,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
epcm,Correspondência exata,Adicionado,EPCM / Implantação,0,5,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
empresa utc,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
ctc industrial santos,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
estrutural macaé,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,2,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
estudo de viabilidade arquitetura,Correspondência de frase (variação aproximada),Nenhum,Viabilidade Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
empresa qualieng,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
perimetral montagem ltda,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
proserv mogi guaçu,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
engemagis,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
engendrar engenharia,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
acs obras industriais,Correspondência de frase (variação aproximada),Excluído,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
empresa estrutural em macaé,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
grupo cei energia e infraestrutura,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,2,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
cmpc industrial,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,4,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
utc engenharia niterói,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,2,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
empresa sna engenharia,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
engemec rio piracicaba,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,2,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
montisol alumar,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
instalação de industrias,Correspondência exata (variante aproximada),Nenhum,EPCM / Implantação,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
engecampo porto alegre,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
priner sbo,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
flash sorocaba,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,2,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
forship engenharia s a,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
engeman macaé,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,2,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
epcm empresa,Correspondência exata (variante aproximada),Nenhum,EPCM / Implantação,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
reframax empresa,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
ebse campo grande,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
estudo de viabilidade,Correspondência de frase (variação aproximada),Nenhum,Viabilidade Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
empresa mse,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
engefabras ouro branco,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
ar engenharia poços de caldas,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
priner piracicaba,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,2,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
pci brasil,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
fontebras pecém,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,3,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
engenharia projetos industriais,Correspondência exata (variante aproximada),Adicionado,Projetos Industriais,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
cegelec brasil,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
priner belo horizonte,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
estrutural engenharia macaé,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
engemon petrobras,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
engenharia de processos industriais,Correspondência exata,Adicionado,Engenharia Industrial,0,2,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
gran service macaé,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
viabilidade técnico econômica,Correspondência exata (variante aproximada),Nenhum,Viabilidade Industrial,0,2,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
sr engenharia santa maria,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,2,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
planejamento de obras industriais,Correspondência exata (variante aproximada),Nenhum,EPCM / Implantação,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
viabilidade econômica,Correspondência de frase (variação aproximada),Nenhum,Viabilidade Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
empresa heftos macaé,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
cotemon construcoes tubulacoes e montagens industriais ltda,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
empresa itaya sorocaba,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
engenheiro de producao,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
engecell projetos industriais,Correspondência de frase (variação aproximada),Nenhum,Projetos Industriais,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
empresa priner,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,2,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
ndt engenharia parauapebas,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
empresa reframax,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
group tk solution,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
engecampo engenharia s a,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
empresa priner serviços industriais,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
engenharia projetos industriais,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
cotemon construcoes tubulacoes e montagens industriais ltda,Correspondência de frase (variação aproximada),Nenhum,Projetos Industriais,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
itaya sorocaba,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
projeto de automação industrial,Correspondência de frase (variação aproximada),Nenhum,Projetos Industriais,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
empresa maqport,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
engenheiro de produção mecânica,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,2,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
planta de fabrica,Correspondência exata (variante aproximada),Nenhum,Projetos Industriais,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
texian barueri,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
engenharia industrial,Correspondência exata,Adicionado,Engenharia Industrial,2,28,"7,14%",BRL,"9,18","0,00","4,59","0,00%","0,00"
o que vem a ser estudo de viabilidade para o lançamento de um novo serviço,Correspondência de frase (variação aproximada),Nenhum,Viabilidade Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
layout de fabricas,Correspondência exata (variante aproximada),Excluído,Projetos Industriais,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
estudo de viabilidade técnica e econômica,Correspondência exata,Adicionado,Viabilidade Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
projeto elétrico industrial,Correspondência de frase (variação aproximada),Nenhum,Projetos Industriais,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
merck engenharia e manutenção industrial,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,2,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
priner camaçari,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,2,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
projetos de instalações industriais,Correspondência exata (variante aproximada),Adicionado,Projetos Industriais,0,2,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
empresa npe group,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
engecampo engenharia reduc,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,4,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
planta baixa fabrica,Correspondência de frase (variação aproximada),Excluído,Projetos Industriais,0,3,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
superus engenharia e o&s gestora de recursos,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,2,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
grupo ferezin,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
plastimetal nova odessa,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
empresa proenge,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
harris pye macaé,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
engemil g m comércio e serviços ltda,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
global engenharia sorocaba,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
empresa tereme,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
ebse engenharia de soluções s a,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
eve estudo de viabilidade econômica,Correspondência de frase (variação aproximada),Nenhum,Viabilidade Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
engemasa são carlos,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
3ngtech,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
intertechne curitiba,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
planta baixa industrial,Correspondência de frase (variação aproximada),Nenhum,Projetos Industriais,0,2,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
tequaly curitiba,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
empresa mecatronic engenharia,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
empresa engevale engenharia,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
estrutural rs,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
pignus,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
engenharia de operações e processos da produção,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
www estruturalrs com br,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,2,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
elco engenharia contagem,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
empresa prumo engenharia,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
champion projetos e equipamentos industriais,Correspondência de frase (variação aproximada),Nenhum,Projetos Industriais,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
engenharia de projetos industriais,Correspondência exata,Adicionado,Projetos Industriais,1,2,"50,00%",BRL,"7,40","0,00","7,40","0,00%","0,00"
pbenge,Correspondência de frase (variação aproximada),Nenhum,Projetos Industriais,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
empresa utc engenharia,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,1,1,"100,00%",BRL,"3,63","0,00","3,63","0,00%","0,00"
monto industrial itaboraí,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
araujo engenharia vinhedo,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
grupo priner empresas,Correspondência de frase (variação aproximada),Nenhum,Engenharia Industrial,0,1,"0,00%",BRL,"0,00","0,00",0,"0,00%","0,00"
